Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of
2015,1,,26,FrRnd,26,Angels,Y,"$1,670,000 ",Taylor Ward (minors),C,2.3,216,687,27,0.253,0.771,,,,,,,4Yr,"California State University, Fresno (Fresno, CA)"
2015,1,,27,FrRnd,27,Rockies,Y,"$2,300,000 ",Mike Nikorak (minors),RHP,,,,,,,,,,,,,HS,"Stroudsburg HS (Stroudsburg, PA)"
2015,1,,28,FrRnd,28,Braves,Y,"$1,974,700 ",Mike Soroka (minors),RHP,6.1,31,60,0,0.083,0.224,37,15,6,2.86,1.16,0,HS,"Bishop Carroll HS (Calgary, AB)"
2015,1,,29,FrRnd,29,Blue Jays,Y,"$1,944,800 ",Jon Harris (minors),RHP,,,,,,,,,,,,,4Yr,"Missouri State University (Springfield, MO)"
2015,1,,30,FrRnd,30,Yankees,Y,"$1,800,000 ",Kyle Holder (minors),SS,,,,,,,,,,,,,4Yr,"University of San Diego (San Diego, CA)"
2015,1,,31,FrRnd,31,Giants,Y,"$1,400,000 ",Chris Shaw (minors),1B,-0.9,38,72,1,0.153,0.466,,,,,,,4Yr,"Boston College (Chestnut Hill, MA)"
2015,1,,32,FrRnd,32,Pirates,Y,"$1,855,000 ",Ke'Bryan Hayes (minors),3B,6.9,191,717,14,0.271,0.741,,,,,,,HS,"Concordia Lutheran HS (Tomball, TX)"
2015,1,,33,FrRnd,33,Royals,Y,"$1,825,200 ",Nolan Watson (minors),RHP,,,,,,,,,,,,,HS,"Lawrence North HS (Indianapolis, IN)"
2015,1,,34,FrRnd,34,Tigers,Y,"$1,795,100 ",Christin Stewart (minors),OF,-1.2,157,519,15,0.225,0.676,,,,,,,4Yr,"University of Tennessee (Knoxville, TN)"
2015,1,,35,FrRnd,35,Dodgers,N,,Kyle Funkhouser (minors),RHP,0.7,4,0,0,,,70,8,5,4.2,1.51,1,4Yr,"University of Louisville (Louisville, KY)"
2015,1,,36,FrRnd,36,Orioles,Y,"$1,300,000 ",Ryan Mountcastle (minors),SS,3.3,248,934,52,0.272,0.812,,,,,,,HS,"Paul J. Hagerty HS (Oviedo, FL)"
2015,1,,37,FrRnd,37,Astros,Y,"$4,000,000 ",Daz Cameron (minors),OF,-0.4,70,216,5,0.204,0.606,,,,,,,HS,"Eagle's Landing Christian Academy (McDonough, GA)"
2015,1,,38,FrRnd,38,Rockies,Y,"$2,000,000 ",Tyler Nevin (minors),3B,0,48,138,3,0.196,0.615,,,,,,,HS,"Poway HS (Poway, CA)"
2015,1,,39,FrRnd,39,Cardinals,Y,"$1,800,000 ",Jake Woodford (minors),RHP,0.2,25,18,0,0.111,0.222,49,5,4,4.12,1.3,0,HS,"H. B. Plant HS (Tampa, FL)"
2015,1,,40,FrRnd,40,Brewers,Y,"$1,250,000 ",Nathan Kirby (minors),LHP,,,,,,,,,,,,,4Yr,"University of Virginia (Charlottesville, VA)"
2015,1,,41,FrRnd,41,Braves,Y,"$1,600,000 ",Austin Riley (minors),3B,7.8,370,1360,79,0.27,0.834,,,,,,,HS,"DeSoto Central HS (Southaven, MS)"
2015,1,,42,FrRnd,42,Indians,Y,"$2,302,500 ",Triston McKenzie (minors),RHP,2.8,1,2,0,0.5,1,48,12,16,4.26,1.07,0,HS,"Royal Palm Beach HS (Royal Palm Beach, FL)"
