Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,franchise_id,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of
2000,1,,21,FrRnd,21,Giants,SFG,Y,"$1,245,000 ",Boof Bonser(minors),RHP,-0.5,6,6,0,0,0,111,19,25,5.18,1.46,0,HS,"Gibbs HS (St. Petersburg, FL)"
2000,1,,26,FrRnd,26,Indians,CLE,Y,"$1,375,000 ",Corey Smith(minors),SS,,,,,,,,,,,,,HS,"Piscataway HS (Piscataway, NJ)"
2000,1s,,37,FrRnd,37,Indians,CLE,Y,"$850,000 ",*Derek Thompson(minors),LHP,0.2,4,4,0,0,0,4,0,0,3.5,1.44,0,HS,"Land O'Lakes HS (Land O'Lakes, FL)"
2000,1,,1,FrRnd,1,Marlins,FLA,Y,"$3,000,000 ",Adrian Gonzalez(minors),1B,43.5,1929,7139,317,0.287,0.843,,,,,,,HS,"Eastlake HS (Chula Vista, CA)"
2000,1s,,36,FrRnd,36,Mets,NYM,Y,"$895,000 ",*Bobby Keppel(minors),RHP,0.2,7,2,0,0,0.333,49,1,5,5.36,1.66,0,HS,"De Smet Jesuit HS (Creve Coeur, MO)"
2000,1,,16,FrRnd,16,Mets via Mariners,NYM,Y,"$400,000 ",*Billy Traber(minors),LHP,-0.7,41,21,0,0.048,0.139,96,12,14,5.65,1.59,0,4Yr,"Loyola Marymount University (Los Angeles, CA)"
2000,1,,14,FrRnd,14,Orioles,BAL,Y,"$2,250,000 ",Beau Hale(minors),RHP,,,,,,,,,,,,,4Yr,"University of Texas at Austin (Austin, TX)"
2000,1s,,32,FrRnd,32,Orioles,BAL,Y,"$1,050,000 ",*Tripper Johnson(minors),RHP,,,,,,,,,,,,,HS,"Newport HS (Bellevue, WA)"
2000,1,,9,FrRnd,9,Padres,SDP,Y,"$2,200,000 ",Mark Phillips(minors),LHP,,,,,,,,,,,,,HS,"Hanover HS (Hanover, PA)"
2000,1,,15,FrRnd,15,Phillies,PHI,Y,"$1,780,000 ",Chase Utley(minors),2B,64.5,1937,6857,259,0.275,0.823,,,,,,,4Yr,"University of California, Los Angeles (Los Angeles, CA)"
2000,1,,19,FrRnd,19,Pirates,PIT,Y,"$1,650,000 ",Sean Burnett(minors),LHP,5.9,351,29,0,0.069,0.285,380,15,23,3.52,1.34,10,HS,"Wellington Community HS (Wellington, FL)"
2000,1s,,35,FrRnd,35,Rangers,TEX,N,,*Tyrell Godwin(minors),OF,0,3,3,0,0,0,,,,,,,4Yr,"University of North Carolina at Chapel Hill (Chapel Hill, NC)"
2000,1s,,39,FrRnd,39,Rangers,TEX,Y,"$625,000 ",*Chad Hawkins(minors),RHP,,,,,,,,,,,,,4Yr,"Baylor University (Waco, TX)"
2000,1,,25,FrRnd,25,Rangers via Mets,TEX,Y,"$1,475,000 ",*Scott Heard(minors),C,,,,,,,,,,,,,HS,"Rancho Bernardo HS (San Diego, CA)"
2000,1,,22,FrRnd,22,Red Sox,BOS,Y,"$1,275,000 ",Phil Dumatrait(minors),LHP,-1.8,44,27,0,0.037,0.074,87,4,13,6.2,1.78,1,JC,"Bakersfield College (Bakersfield, CA)"
2000,1,,23,FrRnd,23,Reds,CIN,Y,,David Espinosa(minors),SS,,,,,,,,,,,,,HS,"Gulliver Prep HS (Coral Gables, FL)"
2000,1s,,34,FrRnd,34,Reds,CIN,Y,"$900,000 ",*Dustin Moseley(minors),RHP,0.7,24,30,0,0.133,0.295,101,15,21,4.67,1.43,0,HS,"Arkansas HS (Texarkana, AR)"
2000,1,,7,FrRnd,7,Rockies,COL,N,,Matt Harrington(minors),RHP,,,,,,,,,,,,,HS,"Palmdale HS (Palmdale, CA)"
2000,1,,4,FrRnd,4,Royals,KCR,Y,"$2,500,000 ",Mike Stodolka(minors),LHP,,,,,,,,,,,,,HS,"Centennial HS (Corona, CA)"
2000,1,,8,FrRnd,8,Tigers,DET,Y,"$2,150,000 ",Matt Wheatland(minors),RHP,,,,,,,,,,,,,HS,"Rancho Bernardo HS (San Diego, CA)"
2000,1,,2,FrRnd,2,Twins,MIN,Y,"$2,500,000 ",Adam Johnson(minors),RHP,-1.1,1,2,0,0,0,9,1,3,10.25,2.05,0,4Yr,"California State University, Fullerton (Fullerton, CA)"
2000,1s,,31,FrRnd,31,Twins,MIN,N,,*Aaron Heilman(minors),RHP,1.6,456,47,0,0.021,0.083,477,35,46,4.4,1.36,16,4Yr,"University of Notre Dame (South Bend, IN)"
2000,1,,12,FrRnd,12,White Sox,CHW,Y,"$5,300,000 ",Joe Borchard(minors),OF,-1.5,301,716,26,0.205,0.636,,,,,,,4Yr,"Stanford University (Palo Alto, CA)"
2000,1,,28,FrRnd,28,Yankees,NYY,Y,"$1,425,000 ",Dave Parrish(minors),C,,,,,,,,,,,,,4Yr,"University of Michigan (Ann Arbor, MI)"
2001,1,,13,FrRnd,13,Angels,ANA,Y,"$2,075,000 ",Casey Kotchman(minors),1B,7.5,939,3071,71,0.26,0.711,,,,,,,HS,"Seminole HS (Seminole, FL)"
2001,1s,,33,FrRnd,33,Angels,ANA,Y,"$850,000 ",*Jeff Mathis(minors),C,0.2,948,2718,53,0.194,0.551,5,0,1,9,1.8,0,HS,"Marianna HS (Marianna, FL)"
2001,1,,10,FrRnd,10,Astros,HOU,Y,"$2,125,000 ",Chris Burke(minors),2B,-1.2,477,1267,23,0.239,0.674,,,,,,,4Yr,"University of Tennessee (Knoxville, TN)"
2001,1,,25,FrRnd,25,Athletics,OAK,Y,"$1,350,000 ",Bobby Crosby(minors),SS,5.4,747,2559,62,0.236,0.677,,,,,,,4Yr,"California State University, Long Beach (Long Beach, CA)"
2001,1s,,37,FrRnd,37,Athletics,OAK,Y,"$600,000 ",*John Rheinecker(minors),LHP,-0.3,1,0,0,,,44,8,9,5.65,1.75,0,4Yr,"Missouri State University (Springfield, MO)"
2001,1,,26,FrRnd,26,Athletics via Mets,OAK,Y,"$1,350,000 ",*Jeremy Bonderman(minors),RHP,4.9,15,30,0,0.033,0.067,225,69,81,4.91,1.41,0,HS,"Pasco HS (Pasco, WA)"
2001,1,,15,FrRnd,15,Blue Jays,TOR,Y,"$1,865,000 ",Gabe Gross(minors),OF,4.6,657,1461,40,0.239,0.716,,,,,,,4Yr,"Auburn University (Auburn, AL)"
2001,1,,29,FrRnd,29,Braves,ATL,Y,"$1,250,000 ",Josh Burrus(minors),SS,,,,,,,,,,,,,HS,"Wheeler HS (Marietta, GA)"
2001,1s,,40,FrRnd,40,Braves,ATL,Y,"$850,000 ",*Richard Lewis(minors),2B,,,,,,,,,,,,,4Yr,"Georgia Institute of Technology (Atlanta, GA)"
2001,1,,24,FrRnd,24,Braves via Dodgers,ATL,Y,"$1,340,000 ",*Macay McBride(minors),LHP,-0.2,104,0,0,,,132,6,2,4.35,1.63,2,HS,"Screven County HS (Sylvania, GA)"
2001,1,,12,FrRnd,12,Brewers,MIL,Y,"$2,075,000 ",Mike Jones(minors),RHP,,,,,,,,,,,,,HS,"Thunderbird HS (Phoenix, AZ)"
2001,1,,28,FrRnd,28,Cardinals,STL,Y,"$900,000 ",Justin Pope(minors),RHP,,,,,,,,,,,,,4Yr,"University of Central Florida (Orlando, FL)"
2001,1,,2,FrRnd,2,Cubs,CHC,Y,"$4,000,000 ",Mark Prior(minors),RHP,16.6,102,204,1,0.201,0.496,106,42,29,3.51,1.23,0,4Yr,"University of Southern California (Los Angeles, CA)"
2001,1,,3,FrRnd,3,Devil Rays,TBD,Y,"$4,200,000 ",Dewon Brazelton(minors),RHP,-3.1,11,6,0,0.167,0.5,63,8,25,6.38,1.68,0,4Yr,"Middle Tennessee State University (Murfreesboro, TN)"
2001,1,,22,FrRnd,22,Diamondbacks,ARI,Y,"$937,000 ",Jason Bulger(minors),RHP,0.7,18,0,0,,,125,7,2,4.33,1.41,1,4Yr,"Valdosta State University (Valdosta, GA)"
2001,1,,6,FrRnd,6,Expos,NAT,Y,"$2,650,000 ",Josh Karp(minors),RHP,,,,,,,,,,,,,4Yr,"University of California, Los Angeles (Los Angeles, CA)"
2001,1,,30,FrRnd,30,Giants,SFG,Y,"$1,175,000 ",Noah Lowry(minors),LHP,10,110,197,2,0.178,0.464,106,40,31,4.03,1.38,0,4Yr,"Pepperdine University (Malibu, CA)"
2001,1s,,41,FrRnd,41,Giants,SFG,Y,"$750,000 ",*Todd Linden(minors),OF,-1.8,270,502,8,0.231,0.638,,,,,,,4Yr,"Louisiana State University (Baton Rouge, LA)"
2001,1,,21,FrRnd,21,Giants via Indians,SFG,Y,"$1,380,000 ",*Brad Hennessey(minors),RHP,2.6,149,88,2,0.227,0.563,148,17,23,4.69,1.49,20,4Yr,"Youngstown State University (Youngstown, OH)"
2001,1s,,35,FrRnd,35,Indians,CLE,Y,"$975,000 ",*J.D. Martin(minors),RHP,0.7,24,37,0,0.162,0.373,24,6,9,4.32,1.41,0,HS,"Sherman E. Burroughs HS (Ridgecrest, CA)"
2001,1s,,43,FrRnd,43,Indians,CLE,Y,"$870,000 ",*Mike Conroy(minors),OF,,,,,,,,,,,,,HS,"Boston College HS (Boston, MA)"
2001,1,,17,FrRnd,17,Indians via Red Sox,CLE,Y,"$1,860,000 ",*Dan Denham(minors),RHP,,,,,,,,,,,,,HS,"Deer Valley HS (Antioch, CA)"
2001,1,,27,FrRnd,27,Indians via White Sox,CLE,N,,*Alan Horne(minors),RHP,,,,,,,,,,,,,HS,"Marianna HS (Marianna, FL)"
2001,1s,,36,FrRnd,36,Mariners,SEA,Y,"$2,000,000 ",*Michael Garciaparra(minors),SS,,,,,,,,,,,,,HS,"Don Bosco Technical Institute (Rosemead, CA)"
2001,1s,,38,FrRnd,38,Mets,NYM,Y,"$960,000 ",*David Wright(minors),3B,49.2,1585,5998,242,0.296,0.867,,,,,,,HS,"Hickory HS (Chesapeake, VA)"
2001,1,,18,FrRnd,18,Mets via Rockies,NYM,Y,"$1,508,750 ",*Aaron Heilman(minors),RHP,1.6,456,47,0,0.021,0.083,477,35,46,4.4,1.36,16,4Yr,"University of Notre Dame (South Bend, IN)"
2001,1,,7,FrRnd,7,Orioles,BAL,Y,"$2,175,000 ",Chris Smith(minors),LHP,,,,,,,,,,,,,4Yr,"Cumberland University (Lebanon, TN)"
2001,1s,,31,FrRnd,31,Orioles,BAL,Y,"$1,150,000 ",*Bryan Bass(minors),SS,,,,,,,,,,,,,HS,"Seminole HS (Seminole, FL)"
2001,1,,19,FrRnd,19,Orioles via Yankees,BAL,Y,"$1,300,000 ",*Mike Fontenot(minors),2B,4.2,582,1413,27,0.265,0.734,,,,,,,4Yr,"Louisiana State University (Baton Rouge, LA)"
2001,1,,14,FrRnd,14,Padres,SDP,Y,"$1,875,000 ",Jake Gautreau(minors),3B,,,,,,,,,,,,,4Yr,"Tulane University (New Orleans, LA)"
2001,1,,4,FrRnd,4,Phillies,PHI,Y,"$4,200,000 ",Gavin Floyd(minors),RHP,15.7,44,75,0,0.067,0.158,243,74,76,4.37,1.32,0,HS,"Mount St. Joseph's HS (Baltimore, MD)"
2001,1,,8,FrRnd,8,Pirates,PIT,Y,"$2,400,000 ",John Van Benschoten(minors),RHP,-3.5,25,21,1,0.095,0.494,26,2,13,9.2,2.14,0,4Yr,"Kent State University (Kent, OH)"
2001,1,,5,FrRnd,5,Rangers,TEX,Y,"$4,500,000 ",Mark Teixeira(minors),3B,50.6,1862,6936,409,0.269,0.87,,,,,,,4Yr,"Georgia Institute of Technology (Atlanta, GA)"
2001,1,,20,FrRnd,20,Reds,CIN,N,,Jeremy Sowers(minors),LHP,1.6,4,4,0,0.25,0.75,72,18,30,5.18,1.44,0,HS,"Ballard HS (Louisville, KY)"
2001,1s,,44,FrRnd,44,Rockies,COL,Y,"$925,000 ",*Jayson Nix(minors),SS,1.6,466,1305,38,0.212,0.627,,,,,,,HS,"Midland HS (Midland, TX)"
2001,1,,9,FrRnd,9,Royals,KCR,Y,"$2,400,000 ",Colt Griffin(minors),RHP,,,,,,,,,,,,,HS,"Marshall HS (Marshall, TX)"
2001,1,,11,FrRnd,11,Tigers,DET,Y,"$1,800,000 ",Kenny Baugh(minors),RHP,,,,,,,,,,,,,4Yr,"Rice University (Houston, TX)"
2001,1s,,32,FrRnd,32,Tigers,DET,Y,"$1,100,000 ",*Michael Woods(minors),2B,,,,,,,,,,,,,4Yr,"Southern University and A&M College (Baton Rouge, LA)"
2001,1,,1,FrRnd,1,Twins,MIN,Y,"$5,150,000 ",Joe Mauer(minors),C,55.2,1858,6930,143,0.306,0.827,,,,,,,HS,"Cretin HS (St. Paul, MN)"
2001,1s,,39,FrRnd,39,White Sox,CHW,Y,"$872,500 ",*Wyatt Allen(minors),RHP,,,,,,,,,,,,,4Yr,"University of Tennessee (Knoxville, TN)"
2001,1,,16,FrRnd,16,White Sox via Marlins,CHW,Y,"$1,500,000 ",*Kris Honel(minors),RHP,,,,,,,,,,,,,HS,"Providence Catholic HS (New Lenox, IL)"
2001,1s,,34,FrRnd,34,Yankees,NYY,Y,"$1,000,000 ",*Bronson Sardinha(minors),SS,0,10,9,0,0.333,0.75,,,,,,,HS,"Kamehameha HS (Honolulu, HI)"
2001,1s,,42,FrRnd,42,Yankees,NYY,Y,"$600,000 ",*Jon Skaggs(minors),RHP,,,,,,,,,,,,,4Yr,"Rice University (Houston, TX)"
2001,1,,23,FrRnd,23,Yankees via Mariners,NYY,Y,"$1,200,000 ",*John-Ford Griffin(minors),OF,0.2,13,23,2,0.304,1.066,,,,,,,4Yr,"Florida State University (Tallahassee, FL)"
2002,1,,12,FrRnd,12,Angels,ANA,Y,"$1,825,000 ",Joe Saunders(minors),LHP,8.4,68,128,0,0.133,0.311,235,89,86,4.37,1.42,0,4Yr,"Virginia Polytechnic Institute and State University (Blacksburg, VA)"
2002,1,,29,FrRnd,29,Astros,HOU,Y,"$1,125,000 ",Derick Grigsby(minors),RHP,,,,,,,,,,,,,JC,"Northeast Texas Community College (Mount Pleasant, TX)"
2002,1,,26,FrRnd,26,Athletics,OAK,Y,"$1,375,000 ",John McCurdy(minors),SS,,,,,,,,,,,,,4Yr,"University of Maryland (College Park, MD)"
2002,1s,,35,FrRnd,35,Athletics,OAK,Y,"$350,000 ",*Jeremy Brown(minors),C,0.1,5,10,0,0.3,0.864,,,,,,,4Yr,"University of Alabama (Tuscaloosa, AL)"
2002,1s,,37,FrRnd,37,Athletics,OAK,Y,"$750,000 ",*Steve Obenchain(minors),RHP,,,,,,,,,,,,,4Yr,"University of Evansville (Evansville, IN)"
2002,1s,,39,FrRnd,39,Athletics,OAK,Y,"$725,000 ",*Mark Teahen(minors),3B,2.6,831,2873,67,0.264,0.736,,,,,,,4Yr,"Saint Mary's College of California (Moraga, CA)"
2002,1,,30,FrRnd,30,Athletics via Cardinals,OAK,Y,"$1,200,000 ",*Ben Fritz(minors),RHP,,,,,,,,,,,,,4Yr,"California State University, Fresno (Fresno, CA)"
2002,1,,16,FrRnd,16,Athletics via Red Sox,OAK,Y,"$1,780,000 ",*Nick Swisher(minors),1B,21.5,1527,5369,245,0.249,0.799,1,0,0,0,2,0,4Yr,"The Ohio State University (Columbus, OH)"
2002,1,,24,FrRnd,24,Athletics via Yankees,OAK,Y,"$1,400,000 ",*Joe Blanton(minors),RHP,11.8,262,216,0,0.107,0.263,427,101,97,4.38,1.34,2,4Yr,"University of Kentucky (Lexington, KY)"
2002,1,,14,FrRnd,14,Blue Jays,TOR,Y,"$1,785,000 ",Russ Adams(minors),SS,0,286,884,17,0.247,0.685,,,,,,,4Yr,"University of North Carolina at Chapel Hill (Chapel Hill, NC)"
2002,1,,23,FrRnd,23,Braves,ATL,Y,"$2,200,000 ",Jeff Francoeur(minors),OF,6.8,1480,5260,160,0.261,0.72,1,0,0,9,2,0,HS,"Parkview HS (Lilburn, GA)"
2002,1s,,34,FrRnd,34,Braves,ATL,Y,"$1,000,000 ",*Dan Meyer(minors),LHP,-0.9,82,2,0,0,0,103,3,9,5.46,1.55,2,4Yr,"James Madison University (Harrisonburg, VA)"
2002,1,,7,FrRnd,7,Brewers,MIL,Y,"$2,400,000 ",Prince Fielder(minors),1B,23.8,1611,5821,319,0.283,0.887,,,,,,,HS,"Eau Gallie HS (Melbourne, FL)"
2002,1,,21,FrRnd,21,Cubs,CHC,Y,"$2,500,000 ",Bobby Brownlie(minors),RHP,,,,,,,,,,,,,4Yr,"Rutgers, the State University of New Jersey (New Brunswick, NJ)"
2002,1s,,32,FrRnd,32,Cubs,CHC,Y,"$1,150,000 ",*Luke Hagerty(minors),LHP,,,,,,,,,,,,,4Yr,"Ball State University (Muncie, IN)"
2002,1s,,36,FrRnd,36,Cubs,CHC,Y,"$1,050,000 ",*Chadd Blasko(minors),RHP,,,,,,,,,,,,,4Yr,"Purdue University (West Lafayette, IN)"
2002,1s,,38,FrRnd,38,Cubs,CHC,Y,"$875,000 ",*Matt Clanton(minors),RHP,,,,,,,,,,,,,JC,"Orange Coast College (Costa Mesa, CA)"
2002,1,,2,FrRnd,2,Devil Rays,TBD,Y,"$4,600,000 ",B.J. Upton(minors),SS,16.8,1469,5175,164,0.244,0.723,,,,,,,HS,"Greenbrier Christian Academy (Chesapeake, VA)"
2002,1,,27,FrRnd,27,Diamondbacks,ARI,Y,"$1,400,000 ",Sergio Santos(minors),SS,2,27,1,0,0,0,194,7,12,3.98,1.33,39,HS,"Mater Dei HS (Santa Ana, CA)"
2002,1,,19,FrRnd,19,Dodgers,LAD,Y,"$1,500,000 ",James Loney(minors),1B,11.3,1443,5023,108,0.284,0.746,,,,,,,HS,"Lawrence E Elkins HS (Missouri City, TX)"
2002,1s,,31,FrRnd,31,Dodgers,LAD,Y,"$1,200,000 ",*Greg Miller(minors),LHP,,,,,,,,,,,,,HS,"Esperanza HS (Anaheim, CA)"
2002,1,,5,FrRnd,5,Expos,NAT,Y,"$2,500,000 ",Clint Everts(minors),RHP,,,,,,,,,,,,,HS,"Cypress Falls HS (Houston, TX)"
2002,1,,25,FrRnd,25,Giants,SFG,Y,"$1,375,000 ",Matt Cain(minors),RHP,29.1,332,611,7,0.121,0.331,342,104,118,3.68,1.23,0,HS,"Houston HS (Germantown, TN)"
2002,1,,22,FrRnd,22,Indians,CLE,Y,"$3,000,000 ",Jeremy Guthrie(minors),RHP,18.4,42,60,0,0.1,0.262,306,91,109,4.42,1.34,0,4Yr,"Stanford University (Palo Alto, CA)"
2002,1s,,33,FrRnd,33,Indians,CLE,Y,"$1,125,000 ",*Matt Whitney(minors),3B,,,,,,,,,,,,,HS,"Palm Beach Gardens HS (Palm Beach Gardens, FL)"
2002,1s,,41,FrRnd,41,Indians,CLE,Y,"$915,000 ",*Micah Schilling(minors),2B,,,,,,,,,,,,,HS,"Silliman Institute (Clinton, LA)"
2002,1,,28,FrRnd,28,Mariners,SEA,N,,John Mayberry(minors),OF,1.5,574,1386,56,0.235,0.72,,,,,,,HS,"Rockhurst HS (Kansas City, MO)"
2002,1,,11,FrRnd,11,Marlins,FLA,Y,"$2,012,500 ",Jeremy Hermida(minors),OF,2.7,632,2012,65,0.257,0.749,,,,,,,HS,"Wheeler HS (Marietta, GA)"
2002,1,,15,FrRnd,15,Mets,NYM,Y,"$2,150,000 ",Scott Kazmir(minors),LHP,22.4,45,72,0,0.111,0.234,303,108,97,4.02,1.35,0,HS,"Cypress Falls HS (Houston, TX)"
2002,1,,4,FrRnd,4,Orioles,BAL,Y,"$3,200,000 ",Adam Loewen(minors),LHP,-0.3,40,37,1,0.189,0.583,63,10,8,5.85,1.68,0,HS,"Fraser Valley Christian HS (Surrey, BC)"
2002,1,,13,FrRnd,13,Padres,SDP,Y,"$1,500,000 ",Khalil Greene(minors),SS,8.5,736,2567,90,0.245,0.723,,,,,,,4Yr,"Clemson University (Clemson, SC)"
2002,1,,17,FrRnd,17,Phillies,PHI,Y,"$2,000,000 ",Cole Hamels(minors),LHP,59,331,688,2,0.169,0.401,423,163,122,3.43,1.18,0,HS,"Rancho Bernardo HS (San Diego, CA)"
2002,1,,1,FrRnd,1,Pirates,PIT,Y,"$4,000,000 ",Bryan Bullington(minors),RHP,-0.2,6,3,0,0.333,0.667,26,1,9,5.62,1.58,0,4Yr,"Ball State University (Muncie, IN)"
2002,1,,10,FrRnd,10,Rangers,TEX,Y,"$1,875,000 ",Drew Meyer(minors),SS,-0.3,5,14,0,0.214,0.429,,,,,,,4Yr,"University of South Carolina (Columbia, SC)"
2002,1,,3,FrRnd,3,Reds,CIN,Y,"$2,500,000 ",Chris Gruler(minors),RHP,,,,,,,,,,,,,HS,"Liberty HS (Brentwood, CA)"
2002,1s,,40,FrRnd,40,Reds,CIN,Y,"$200,000 ",*Mark Schramek(minors),3B,,,,,,,,,,,,,4Yr,"University of Texas at San Antonio (San Antonio, TX)"
2002,1,,9,FrRnd,9,Rockies,COL,Y,"$1,850,000 ",Jeff Francis(minors),LHP,9.6,191,303,0,0.116,0.322,254,72,82,4.97,1.44,1,4Yr,"University of British Columbia (Vancouver, BC)"
2002,1,,6,FrRnd,6,Royals,KCR,Y,"$2,475,000 ",Zack Greinke(minors),RHP,74.9,259,521,9,0.225,0.598,542,221,136,3.43,1.16,1,HS,"Apopka HS (Apopka, FL)"
2002,1,,8,FrRnd,8,Tigers,DET,Y,"$2,300,000 ",Scott Moore(minors),SS,-0.8,152,385,16,0.242,0.713,,,,,,,HS,"Cypress HS (Cypress, CA)"
2002,1,,20,FrRnd,20,Twins,MIN,Y,"$1,700,000 ",Denard Span(minors),OF,27.9,1359,5326,71,0.281,0.745,,,,,,,HS,"Tampa Catholic HS (Tampa, FL)"
2002,1,,18,FrRnd,18,White Sox,CHW,Y,"$1,600,000 ",Royce Ring(minors),LHP,-0.9,87,0,0,,,99,3,3,5.29,1.57,0,4Yr,"San Diego State University (San Diego, CA)"
2003,1,,23,FrRnd,23,Angels,ANA,Y,"$1,300,000 ",Brandon Wood(minors),SS,-3.8,272,700,18,0.186,0.513,,,,,,,HS,"Horizon HS (Scottsdale, AZ)"
2003,1,,25,FrRnd,25,Athletics,OAK,Y,"$1,360,000 ",Brad Sullivan(minors),RHP,,,,,,,,,,,,,4Yr,"University of Houston (Houston, TX)"
2003,1s,,33,FrRnd,33,Athletics,OAK,Y,"$992,500 ",*Omar Quintanilla(minors),SS,-0.9,402,1035,8,0.22,0.582,,,,,,,4Yr,"University of Texas at Austin (Austin, TX)"
2003,1,,26,FrRnd,26,Athletics via Giants,OAK,Y,"$1,325,000 ",*Brian Snyder(minors),3B,,,,,,,,,,,,,4Yr,"Stetson University (DeLand, FL)"
2003,1,,13,FrRnd,13,Blue Jays,TOR,Y,"$1,675,000 ",Aaron Hill(minors),SS,24.4,1559,5646,162,0.266,0.74,,,,,,,4Yr,"Louisiana State University (Baton Rouge, LA)"
2003,1s,,35,FrRnd,35,Braves,ATL,Y,"$950,000 ",*Luis Atilano(minors),RHP,-0.9,13,25,0,0.04,0.08,16,6,7,5.15,1.49,0,HS,"Gabriela Mistral HS (San Juan, Puerto Rico)"
2003,1s,,36,FrRnd,36,Braves,ATL,Y,"$950,000 ",*Jarrod Saltalamacchia(minors),C,5.9,895,2852,110,0.232,0.715,,,,,,,HS,"Royal Palm Beach HS (Royal Palm Beach, FL)"
2003,1,,2,FrRnd,2,Brewers,MIL,Y,"$3,600,000 ",Rickie Weeks(minors),2B,11.5,1324,4417,161,0.246,0.764,,,,,,,4Yr,"Southern University and A&M College (Baton Rouge, LA)"
2003,1,,28,FrRnd,28,Cardinals,STL,Y,"$975,000 ",Daric Barton(minors),C,8.9,551,1744,30,0.247,0.721,,,,,,,HS,"Marina HS (Huntington Beach, CA)"
2003,1,,6,FrRnd,6,Cubs,CHC,Y,"$2,400,000 ",Ryan Harvey(minors),OF,,,,,,,,,,,,,HS,"Dunedin HS (Dunedin, FL)"
2003,1,,1,FrRnd,1,Devil Rays,TBD,Y,"$3,700,000 ",Delmon Young(minors),OF,3.2,1118,4108,109,0.283,0.737,,,,,,,HS,"Adolfo Camarillo HS (Camarillo, CA)"
2003,1,,29,FrRnd,29,Diamondbacks,ARI,Y,"$1,100,000 ",Carlos Quentin(minors),OF,10.5,834,2790,154,0.252,0.831,,,,,,,4Yr,"Stanford University (Palo Alto, CA)"
